HV,Yang delta,Yang omega,APE mean,Radii local mismatch,Radii gamma,Configuration entropy,Atomic weight mean,Total weight,Lambda entropy,Electronegativity delta,Electronegativity local mismatch,VEC mean,Mixing enthalpy,Mean cohesive energy,Interant electrons,Interant s electrons,Interant p electrons,Interant d electrons,Shear modulus mean,Shear modulus delta,Shear modulus local mismatch,Shear modulus strength model
167,0.015102566,6.07354225,0.009030573,0.913944566,1.024025011,-0.013310337,57.74673936,5786.223283,-58.35627758,0.056703115,0.153913102,8.724550898,3.88235505,4.121137725,28,2,0,26,79.21008982,0.296356318,12.45982027,-0.041478457
158,0.013460302,13.66861203,0.012257018,0.778332557,1.024031209,-0.012979576,57.95044102,5800.839146,-71.63923066,0.05765749,0.154753179,8.999000999,1.673331663,4.18975025,28,2,0,26,78.31492507,0.266439097,10.5252895,-0.033733126
140,0.016795812,5.949567048,0.005205743,1.031226516,1.024017678,-0.011466957,56.21120556,5626.741677,-40.64865529,0.041648201,0.113061863,8.132867133,3.626080213,4.293296703,27,1,0,26,88.25062937,0.196303546,8.369061348,-0.018915782
125,0.014673447,5.315776678,0.009917917,0.88,1.024026715,-0.011075737,56.832219,5683.2219,-51.440872,0.041448131,0.1096,8.6,3.84,4.33,27,1,0,26,84.948,0.188982808,7.1816,-0.016354918
242,0.041798207,1.833728915,-0.005923791,2.367346939,1.07631665,-0.012263784,52.83371909,5288.65528,-7.019548765,0.071108343,0.178367347,9.428571429,11.34693878,4.211428571,28,1,1,26,75.19714286,0.322886625,11.61795918,-0.054860517
265,0.04297073,1.830409804,0.002613495,2.49704142,1.076276594,-0.012632147,52.3829744,5243.535737,-6.841191275,0.072340988,0.184142012,9.384615385,11.69230769,4.193846154,28,1,1,26,75.20846154,0.335024385,12.31491124,-0.05855166
335,0.044246753,1.82893812,0.000806559,2.640664031,1.076229325,-0.012979576,51.85027614,5190.212641,-6.62975831,0.073468991,0.189503144,9.332667333,12.00332135,4.173066933,28,1,1,26,75.22183816,0.348815947,13.10234692,-0.062823941
170,0.01727065,6.168863824,0.004035915,1.057704351,1.024015438,-0.01127898,56.05719268,5600.113548,-37.81398522,0.041120848,0.111356702,8.017017017,3.457247037,4.284194194,27,1,0,26,89.06968969,0.196797923,8.569951673,-0.019191398
475,0.030432119,3.91170205,-0.005321752,1.683072173,1.076541896,-0.010326858,54.16236608,5421.652844,-11.15074392,0.048493659,0.123161654,7.933066933,4.937855351,4.213376623,20,1,1,18,88.30207792,0.25446526,11.16174868,-0.037852816
620,0.037834882,2.858001437,-0.01115229,2.19,1.076387228,-0.010923216,52.73044236,5273.044236,-7.630724436,0.056483732,0.1434,8.2,6.96,4.17,20,1,1,18,85.051,0.303965474,13.0965,-0.05383028
503,0.045584654,1.829202708,-0.00127877,2.79338843,1.076174874,-0.013253902,51.23562429,5128.685992,-6.378321686,0.074334891,0.193719008,9.272727273,12.23140496,4.149090909,28,1,1,26,75.23727273,0.364069125,13.96214876,-0.067634508
555,0.047931597,1.825286407,-0.005560255,3.06324178,1.07606342,-0.013310337,49.97405445,5007.400256,-5.793556707,0.074638909,0.195759798,9.149700599,12.26060454,4.09988024,28,1,1,26,75.2689521,0.393492622,15.56317123,-0.077119252
548,0.048743019,1.813230628,-0.007290415,3.155625,1.076018511,-0.013075826,49.46440256,4946.440256,-5.503567236,0.074178285,0.1940625,9.1,12.105,4.08,28,1,1,26,75.28175,0.404759809,16.14751875,-0.080806413
615,0.049488256,1.781618082,-0.009034774,3.239062793,1.075973308,-0.012598531,48.95065708,4904.85584,-5.144173337,0.073351523,0.190882825,9.0499002,11.85064601,4.05996008,28,1,1,26,75.2946507,0.415801091,16.70019434,-0.084441083
720,0.050161744,1.676849471,-0.010772484,3.3125,1.075928353,-0.011525651,48.4389584,4843.89584,-4.580577335,0.072142864,0.18625,9,11.5,4.04,20,1,1,18,75.3075,0.426507043,17.214375,-0.087980664
550,0.048368872,1.604672502,-0.008976543,3.194497233,1.075933533,-0.012598531,48.90566561,4900.347694,-5.385028104,0.077423112,0.204252493,9.23752495,13.09848168,4.069341317,28,1,1,26,75.03760479,0.417163195,16.76124916,-0.08484469
539,0.048024573,1.697403733,-0.007253666,3.1275,1.075991966,-0.013075826,49.43442819,4943.442819,-5.669465481,0.076711981,0.2025,9.225,12.8925,4.08625,28,1,1,26,75.1105,0.405642328,16.18605,-0.081054212
532,0.045033292,1.962784445,0.000770409,2.66833067,1.076264824,-0.012979576,51.89004234,5194.193238,-6.4001938,0.071019983,0.181203152,9.166833167,11.22865546,4.164775225,28,1,1,26,75.44903097,0.347811441,13.06444363,-0.062611546
438,0.051253376,1.489771845,-0.008992805,3.060800555,1.076132936,-0.012598531,50.20723632,5030.76508,-4.795953274,0.079315423,0.199350281,9.800399202,13.45500616,4.123752495,28,1,1,26,67.48007984,0.362220786,11.83051566,-0.063066471
476,0.049884462,1.61695236,-0.007263929,3.043125,1.076124924,-0.013075826,50.30156506,5030.156506,-5.254586597,0.077896335,0.19940625,9.6,13.1175,4.1225,28,1,1,26,70.0755,0.374021651,13.0743,-0.067106343
510,0.048488199,1.726672199,-0.005547668,3.009779842,1.076116978,-0.013310337,50.39514217,5049.593246,-5.661310231,0.076389739,0.19829924,9.401197605,12.74176199,4.121257485,28,1,1,26,72.65023952,0.380070038,14.10272473,-0.07055443
617,0.042957926,2.082817411,0.000780504,2.751330587,1.076087743,-0.012979576,50.73963498,5079.037461,-7.033538935,0.069870749,0.184246483,8.669330669,11.00732235,4.116683317,28,1,1,26,82.12883117,0.370530233,16.12548057,-0.075806082
712,0.04861524,1.228684623,0.005272292,3.25,1.075875445,-0.011525651,49.1510584,4915.10584,-4.87663909,0.083018867,0.215625,9.5,15.5,4.08,22,1,1,20,73.69,0.433273671,16.98125,-0.089636915
665,0.048368872,1.422658993,-0.008976543,3.194497233,1.075933533,-0.012598531,49.48508742,4958.40576,-5.385028104,0.081059754,0.211828638,9.425149701,14.70284182,4.08998004,28,1,1,26,74.08071856,0.42072759,16.5339648,-0.085545306
587,0.048024573,1.568751892,-0.007253666,3.1275,1.075991966,-0.013075826,49.82045256,4982.045256,-5.669465481,0.079027975,0.20728125,9.35,13.905,4.1,28,1,1,26,74.473,0.407939095,16.0426125,-0.081457382
558,0.047583749,1.700950102,-0.005542791,3.049876295,1.076050046,-0.013310337,50.15314547,5025.345176,-5.878570528,0.076943307,0.202041576,9.275449102,13.11599555,4.10994012,28,1,1,26,74.86215569,0.395039727,15.51331797,-0.0774083
510,0.045033292,2.162877845,0.000770409,2.66833067,1.076264824,-0.012979576,51.3779141,5142.929201,-6.4001938,0.068574342,0.176499824,9.000999001,10.23265645,4.146533467,28,1,1,26,76.29478521,0.345262068,13.20554349,-0.062354058
655,0.043177828,2.28843961,0.003024918,2.631500369,1.076233036,-0.01127898,51.29565193,5124.435628,-6.049900502,0.062847246,0.160697334,8.467467467,8.731590449,4.126536537,20,1,1,18,81.79341341,0.34815832,14.75369397,-0.067186984
