formula,HV
Al9.8Co19.6Cr19.6Fe19.6Ni19.6Mn11.8,161
Al18.9Co18.9Cr18.9Fe18.9Ni18.9Mn5.7,501
Al17.9Co17.9Cr17.9Fe17.9Ni17.9Mn10.7,489
Al20.6Co15.9Cr15.9Fe15.9Ni31.7,340
Al18.2Cr18.2Cu18.2Fe18.2Ni18.2Ti9.1,460
Al15.4Cr15.4Cu15.4Fe15.4Ni15.4Ti23.1,596
Al20Cr20Fe20Ni20Ti20,687.48
Al22Co18.3Cr18.3Fe18.3Ni18.3Ti4.6,666.38
Al21.1Co17.5Cr17.5Fe17.5Ni17.5Ti8.8,717.02
Al20.2Co16.8Cr16.8Fe16.8Ni16.8Ti12.6,702.61
Al19.4Co16.1Cr16.1Fe16.1Ni16.1Ti16.1,676.45
Co15.4Cu15.4Fe15.4Ni15.4Ti23.1V15.4,589
Al16.7Co16.7Cr16.7Fe16.7Ni16.7Mo16.7,851.08
Al9.5Co19Cr19Cu14.3Fe19Ni19,240.7
Al10Co20Cr20Cu10Fe20Ni20,240.78
Al13.5Co19.2Cr19.2Cu9.6Fe19.2Ni19.2,312.54
Al14.3Co19Cr19Cu9.5Fe19Ni19,341.09
Al15Co20Cr20Cu5Fe20Ni20,375.23
Al15.2Co19Cr19Cu8.6Fe19Ni19,403.25
Al17Co18.9Cr18.9Cu7.5Fe18.9Ni18.9,560.11
Al19.6Co19.6Cr19.6Cu2Fe19.6Ni19.6,578.26
Cr16.7Cu16.7Fe16.7Ni16.7Ti16.7V16.7,657
Al7.7Cr15.4Cu15.4Fe15.4Ni15.4Ti15.4V15.4,593
Al14.3Cr14.3Cu14.3Fe14.3Ni14.3Ti14.3V14.3,750
Al20Cr13.3Cu13.3Fe13.3Ni13.3Ti13.3V13.3,895
Al19.2Co19.2Cr19.2Fe19.2Ni19.2Ti3.8,467
Cr21.5Cu3.2Fe21.5Ni32.3Mn21.5,127
Al16.7Cr16.7Cu33.3Fe16.7Ni16.7,375
Al23.8Co23.8Cr23.8Fe4.8Ni23.8,637.2
Co22.2Cr22.2Fe22.2Ni22.2V11.1,470.5
Co16.7Cr16.7Fe16.7Ni16.7V33.3,920.2
Al3.5Co26.3Cr17.5Fe17.5Ni26.3Ti8.8,480.8
Al3.2Co24.2Cr16.1Fe16.1Ni24.2Ti16.1,671.6
Al18.2Co18.2Cr18.2Cu9.1Fe18.2Ti18.2,804
Al17.4Co17.4Cr17.4Cu13Fe17.4Ti17.4,613
Al16.7Co16.7Cr16.7Cu16.7Fe16.7Ti16.7,582
Al5Co22.5Cr25Cu22.5Ni25,165.03
Co10Cr10Fe40Mn40,131.3
Co10Fe40Ni10Mn40,136
Co10Cr10Fe50Mn30,380
Cr25Fe25Mo25V25,720
Cr22.2Fe22.2Mo22.2Ti11.1V22.2,818
Cr18.2Fe18.2Mo18.2Ti27.3V18.2,735
Cr16.7Fe16.7Mo16.7Ti33.3V16.7,685
Co24.4Cr24.4Fe24.4Ni24.4Mo2.4,150
Co20Cr20Fe40Ni20,124
Co14.3Cr14.3Fe57.1Ni14.3,109
Co16.7Cr16.7Fe50Ni16.7,115
Co22.2Cu11.1Fe22.2Ni22.2V22.2,214
Co20Cu10Fe20Ni20Ti10V20,546
Co18.2Cu9.1Fe18.2Ni18.2Ti18.2V18.2,690
Co16.7Cu8.3Fe16.7Ni16.7Ti25V16.7,664
Co15.4Cu7.7Fe15.4Ni15.4Ti30.8V15.4,660
Co25Cr25Fe25Mn25,310
Al13Co21.7Cr21.7Fe21.7Ni21.7,245.8
Al4.8Co23.8Cr23.8Fe23.8Ni23.8,169
Al25.9Co18.5Cr18.5Fe18.5Ni18.5,516.6
Al13.3Co33.3Cu20Ni33.3,193
Al7Co23.3Cr23.3Fe23.3Ni23.3,166
Al8.6Co22.9Cr22.9Fe22.9Ni22.9,131
Al16.7Co16.7Cr16.7Cu16.7Fe16.7Ni16.7,472
Al16.7Co16.7Cr16.7Fe33.3Ni16.7,485
Al16.7Co16.7Cu16.7Fe16.7Ni16.7Ti16.7,626
Al16.7Cr16.7Cu16.7Fe16.7Ni33.3,396
Al16Co20Cr20Fe20Ni20Ti4,473
Al18.2Co18.2Cr18.2Fe18.2Ni18.2Mo9.1,747
Al18.2Co18.2Cr18.2Fe18.2Ni18.2Ti9.1,507
Al10Co20Cr20Fe20Ni20Ti10,520
Al23.8Co19Cr19Fe19Ni19,493
Al25Co25Fe25Ni25,447
Al26.5Cr14.7Cu14.7Fe14.7Ni29.4,570
Al27.3Co18.2Cr18.2Fe18.2Ni18.2,510
Al28.6Co14.3Cr14.3Fe14.3Ni14.3Ti14.3,729
Al20Co20Cr20Cu20Fe20,407
Al20Co20Cu20Fe20Ni20,536
Co25Cr16.7Fe16.7Ni25Ti16.7,596.3
Co25Cr25Fe25Ni25,156
Co27.3Cr18.2Fe18.2Ni27.3Ti9.1,447.5
Co20Cr20Fe20Ni20Mn20,118
Cr20Fe20Mo20Ti20V20,857
Co20Cr20Fe20Ni20V20,504
Co18.2Cr18.2Fe18.2Ni18.2V27.3,895
Al34Co17Cr34Fe5Ni10,699
Al47Co14Cr15Cu5Fe13Ni6,728
Al38Co11Cr6Cu9Fe31Ni5,604
Al36Co10Cr31Cu6Fe9Ni8,790
Al43Co17Cr15Fe14Ni11,806
Al47Co12Cr12Cu5Fe13Ni11,811
Al43Co19Cr19Fe11Ni8,855
Al39Co10Cr31Cu5Fe8Ni7,802
Al47Co13Cr13Cu5Fe12Ni10,799
Al43Co20Cr22Fe8Ni7,857
Al47Co14Cr19Cu5Fe10Ni5,855
Al43Co20Cr19Fe9Ni9,816
Al46Co14Cr23Cu5Fe7Ni5,811
Al44Co14Cr22Cu5Fe9Ni6,790
Al43Co19Cr24Fe8Ni6,855
Al43Co18Cr24Fe10Ni5,856
Al47Co14Cr20Cu5Fe9Ni5,859
Al43Co24Cr22Fe5Ni6,875
Al43Co23Cr21Fe8Ni5,863
Al47Co12Cr20Cu5Fe11Ni5,843
Al43Co15Cr17Cu5Fe14Ni6,794
Al42Co10Cr30Cu5Fe7Ni6,783
Al47Co11Cr22Cu5Fe10Ni5,797
Al47Co13Cr20Cu5Fe10Ni5,805
Al29Co22Cr34Fe5Ni10,699
Al47Co7Cr16Cu9Fe16Ni5,749
Al43Co14Cr21Cu5Fe12Ni5,828
Al47Co18Cr15Cu5Fe10Ni5,849
Al47Co20Cr18Cu5Fe5Ni5,883
Al43Co18Cr20Fe12Ni7,864
Al47Co17Cr16Cu5Fe10Ni5,841
Al43Co24Cr23Fe5Ni5,868
Al43Co25Cr22Fe5Ni5,865
Al46Co21Cr18Cu5Fe5Ni5,840
Al43Co22Cr22Fe8Ni5,882
Al43Co22Cr23Fe7Ni5,883
Al43Co20Cr21Fe9Ni7,828
Al43Co22Cr25Fe5Ni5,848
Al47Co19Cr19Cu5Fe5Ni5,878
Al43Co29Cr18Fe5Ni5,782
Al9.1Cr22.7Cu22.7Ni22.7Ti22.7,392
Al13Cr21.7Cu21.7Ni21.7Ti21.7,452
Al20Co20Cr20Fe20Ni20,350.2
Al16.7Co16.7Cr16.7Fe16.7Ni16.7Ti16.7,435
